ward_name,count
01001,8
01002,20
01003,28
01004,4
01051,11
01053,15
01054,13
01055,13
01056,31
01057,10
01058,22
01059,22
01060,13
01061,13
01062,18
02000,135
03101,31
03102,9
03103,8
03151,11
03152,30
03153,20
03154,4
03155,10
03156,5
03157,7
03158,9
03241,91
03251,12
03252,14
03254,25
03255,8
03256,8
03257,11
03351,10
03352,16
03353,21
03354,5
03355,15
03356,5
03357,12
03358,12
03359,10
03360,4
03361,8
03401,4
03402,5
03403,17
03404,15
03405,6
03451,4
03452,11
03453,9
03454,23
03455,15
03456,5
03457,10
03458,9
03459,22
03460,14
03461,2
03462,5
04011,44
04012,12
05111,77
05112,49
05113,37
05114,22
05116,17
05117,17
05119,16
05120,5
05122,9
05124,24
05154,24
05158,42
05162,34
05166,21
05170,40
05314,36
05315,103
05316,10
05334,46
05358,17
05362,39
05366,14
05370,18
05374,23
05378,23
05382,47
05512,5
05513,24
05515,26
05554,36
05558,23
05562,45
05566,31
05570,19
05711,22
05754,28
05758,15
05762,9
05766,34
05770,20
05774,24
05911,24
05913,32
05914,10
05915,11
05916,12
05954,27
05958,15
05962,47
05966,9
05970,27
05974,32
05978,20
06411,15
06412,55
06413,13
06414,34
06431,16
06432,18
06433,19
06434,13
06435,27
06436,15
06437,4
06438,30
06439,21
06440,19
06531,20
06532,16
06533,17
06534,14
06535,2
06611,9
06631,11
06632,7
06633,16
06634,7
06635,7
06636,4
07111,16
07131,4
07132,7
07133,12
07134,12
07135,4
07137,19
07138,13
07140,2
07141,10
07143,17
07211,16
07231,13
07232,6
07233,10
07235,9
07311,4
07312,11
07313,3
07314,9
07315,19
07316,7
07317,4
07318,2
07319,1
07331,7
07332,12
07333,10
07334,13
07335,8
07336,6
07337,13
07338,9
07339,14
07340,7
08111,51
08115,29
08116,52
08117,12
08118,43
08119,32
08121,7
08125,29
08126,9
08127,15
08128,10
08135,6
08136,27
08211,9
08212,23
08215,24
08216,16
08221,12
08222,20
08225,7
08226,33
08231,7
08235,5
08236,18
08237,8
08311,20
08315,11
08316,10
08317,33
08325,10
08326,24
08327,5
08335,28
08336,8
08337,6
08415,15
08416,15
08417,10
08421,16
08425,15
08426,23
08435,12
08436,22
08437,9
09161,9
09162,132
09163,11
09171,14
09172,10
09173,7
09174,7
09175,9
09176,12
09177,12
09178,17
09179,14
09180,9
09181,10
09182,9
09183,7
09184,35
09185,8
09186,10
09187,22
09188,20
09189,6
09190,10
09261,8
09262,5
09263,3
09271,7
09272,3
09273,9
09274,16
09275,14
09276,2
09277,10
09278,3
09279,6
09361,3
09362,17
09363,4
09371,10
09372,9
09373,8
09374,4
09375,12
09376,15
09377,3
09461,6
09462,7
09463,2
09464,3
09471,5
09472,4
09473,8
09474,7
09475,9
09476,5
09477,6
09478,6
09479,2
09561,6
09562,6
09563,10
09564,51
09565,4
09571,9
09572,10
09573,8
09574,17
09575,8
09576,7
09577,8
09661,12
09662,4
09663,12
09671,13
09672,7
09673,3
09674,10
09675,5
09676,13
09677,8
09678,6
09679,6
09761,33
09762,3
09763,4
09764,3
09771,8
09772,17
09773,12
09774,16
09775,7
09776,3
09777,13
09778,8
09779,8
09780,17
10041,15
10042,2
10043,9
10044,10
10045,16
10046,5
11000,251
12051,3
12052,6
12053,5
12054,6
12060,11
12061,7
12062,6
12063,10
12064,15
12065,12
12066,5
12067,4
12068,11
12069,17
12070,2
12071,3
12072,8
12073,10
13001,5
13002,3
13003,9
13004,4
13005,3
13006,2
13051,7
13052,4
13053,7
13054,3
13055,2
13056,2
13057,10
13058,2
13059,9
13060,8
13061,3
13062,4
14511,14
14521,26
14522,17
14523,16
14524,20
14612,25
14625,17
14626,20
14627,17
14628,12
14713,37
14729,17
14730,12
15001,10
15002,18
15003,9
15081,1
15082,16
15083,9
15084,11
15085,23
15086,4
15087,11
15088,12
15089,11
15090,6
15091,3
16051,22
16052,6
16053,6
16054,2
16055,6
16056,5
16061,6
16062,6
16063,13
16064,4
16065,9
16066,5
16067,9
16068,2
16069,2
16070,9
16071,11
16072,3
16073,9
16074,4
16075,5
16076,7
16077,8