,region,price(million)
0,Abag,12737.2714
1,Abagnar Qi,5350.7734
2,Acheng,110490.71
3,Akqi,4824.9207
4,Aksai Kazakh,4219.7376
5,Aksu,67711.7823
6,Akto,14141.8682
7,Altay,43762.4175
8,Alxa Left,68549.7187
9,Alxa Right,12014.7947
10,An,195732.8242
11,Anda,48313.0045
12,Anfu,141231.8499
13,Anguo,137244.36
14,Anji,1496731.035
15,Anju,185445.1894
16,Ankang,914333.8521
17,Anlong,83714.5667
18,Anlu,252242.69
19,Anning,709186.0984
20,Anping,214656.6919
21,Anqing,632917.2759
22,Anqiu,460915.5596
23,Ansai,37157.8985
24,Anshan,1744608.469
25,Anshun,431854
26,Antu,110083.7649
27,Anxi,518184.0212
28,Anxin,61971.4
29,Anyang Shì,605769.4532
30,Anyang Xiàn,605769.4532
31,Anyi,253188.54
32,Anyuan,151248.9698
33,Anze,14060.7815
34,Aohan,226028.8712
35,Ar Horqin,143064.54
36,Artux,43161.3342
37,Arun,91554.8489
38,Awat,13572.7823
39,Ba,1800754.918
40,Bachu,24282.4131
41,Badong,48207.0341
42,Baicheng,380398.6074
43,Baihe,6235.9395
44,Baiquan,20229.2762
45,Bairin Left,135264.3101
46,Bairin Right,33896.6304
47,Baise,320676.018
48,Baisha Li,43223.9991
49,Baishui,72464.3136
50,Baixiang,51127.0395
51,Baiyü,398.5
52,Bama Yao,33677.9208
53,Bao'an,140236.99
54,Baode,108656.215
55,Baodi,1025264.811
56,Baoding,2120938.813
57,Baofeng,319199.5
58,Baokang,75687.0699
59,Baoqing,22391.391
60,Baoshan,18275.1004
61,Baoting Li,57105.2498
62,Baotou,1235191.281
63,Baoxing,10500.5549
64,Baoying,921827.8102
65,Barkam,6415.9236
66,Batang,9057
67,Bayan,44807.0532
68,Bei'an,35098.2913
69,Beichen,546604.6921
70,Beichuan Qiang,46712.4485
71,Beihai,530770.3307
72,Beiliu,277249.8965
73,Beipiao,112095.7874
74,Beizhen,122705.4136
75,Bengbu,2242422.804
76,Benxi,674709.4698
77,Benxi Manchu,148585.9615
78,Bijiang,8842.8436
79,Bijie,693082.6174
80,Bin,115209.6641
81,Binchuan,97763.9175
82,Binhai,692672.0049
83,Binyang,119530.8316
84,Biyang,730445.6392
85,Bo'ai,80606.5609
86,Bobai,194783.3766
87,Bohu,11210.9445
88,Bole,161267.1477
89,Boli,22532.1867
90,Boluo,473280.2789
91,Bordered Yellow,5542.6801
92,Boxian,2373167.339
93,Boxing,200823.2095
94,Boyang,1630517.375
95,Boye,36622.4498
96,Burqin,13684.7747
97,Butha Qi,92116.42
98,Butuo,163.9777
99,Cang,231402.2143
100,Cangnan,992753.4071
101,Cangshan,409082.8598
102,Cangwu,110920.096
103,Cangxi,215523.8438
104,Cangyuan Va,60605.8303
105,Cangzhou,1578939.474
106,Cao,364890
107,Ceheng,8152.1631
108,Cengong,111395.7496
109,Cenxi,162012.2874
110,Changbai Korean,5434.8767
111,Changchun,6532778.865
112,Changdao,28495.7997
113,Changfeng,1522244.667
114,Changge,364681.449
115,Changhai,6102.5
116,Changji,875129.7633
117,Changjiang Li,132061.4998
118,Changle,1529645.262
119,Changli,451107.849
120,Changling,52527.1897
121,Changning,202944.4122
122,Changping,9227.6785
123,Changsha Xiàn,2263137.319
124,Changshan,176102.7127
125,Changshu,2367288.073
126,Changshun,75319.9312
127,Changtai,160753.964
128,Changting,100663.5524
129,Changtu,123865.6553
130,Changwu,111611.6093
131,Changxing,1129727.108
132,Changyang Tujia,35059.7273
133,Changyi,498151.6125
134,Changyuan,272417.5928
135,Changzhi Shì,94638.7447
136,Changzhi Xiàn,94638.7447
137,Changzhou,219358.096
138,Chao,50763.4351
139,Chaonan,134262.2672
140,Chaotian,49858.8678
141,Chaoyang,111171.9604
142,Chaoyang Shì,466252.3245
143,Chaoyang Xiàn,202217.4734
144,Chaozhou,621861.0613
145,Chen,850056.6548
146,Chenbarag Qi,92116.42
147,Cheng,7682.5
148,Cheng'an,90269.6069
149,Chengde Shì,235162.8601
150,Chengde Xiàn,136855.6434
151,Chengdu Shì,12854441.25
152,Chenggu,91625.2164
153,Chenghai,277332.1741
154,Chengjiang,107234.6402
155,Chengmai,356309.43
156,Chengwu,75424.2425
157,Chenzhou,850056.6548
158,Chicheng,28012.8301
159,Chifeng,515847.7594
160,Chiping,17781.4201
161,Chishui,238371.144
162,Chongan,259527.6466
163,Chongli,115108.5563
164,Chongqing,12854441.25
165,Chongren,323384.25
166,Chongxin,26514.5897
167,Chongyang,125863.1831
168,Chongyi,67321.53
169,Chun'an,474356.4471
170,Chunhua,13843.6535
171,Chuxian,1507109.789
172,Chuxiong,264251.0232
173,Ci,246643.3277
174,Cixi,1414176.265
175,Conghua,163875.7505
176,Congjiang,103711.8482
177,Da,434262.6865
178,Da'an,78530.847
179,Dachang Hui,919105.1408
180,Dadong,1011195.254
181,Dafang,613148.3328
182,Dafeng,774782.9508
183,Dagang,6891.2
184,Daguan,1689.7894
185,"Dahua Yao 	",33204.5086
186,Dai,23412.5
187,Daicheng,169194.84
188,Daishan,137232.4073
189,Dalad,88894.4633
190,Dali,619552.6123
191,Dalian,5889783.939
192,Daming,97558
193,Danba,7269
194,Dancheng,90513.0333
195,Danfeng,30145.4814
196,Dangchang,14146.0626
197,Dangtu,710732.1525
198,Dangyang,251185.4731
199,Daning,5699.3318
200,Danleng,55227.2145
201,Dantu,132353.6
202,Danyang,1265936.752
203,Danzhai,29027.3382
204,Danzhou,987540.9723
205,Daocheng,18490.1255
206,Dapu,46662.9891
207,Daqina,859550.0594
208,Darlag,81.3991
209,Datian,82696.2
210,Datong Shì,1679286.547
211,Datong Xiàn,73538.26
212,Dawa,271002.661
213,Dawu,157256.7027
214,Daxian,477670.1203
215,Daxin,30065.7772
216,Daxing,74487.0741
217,Dayao,28291.8919
218,Daye,624136.6036
219,Dayi,155499.2355
220,Dayu,58660.58
221,Dazhu,332417.0594
222,De'an,272780.603
223,Debao,18546.6069
224,Dechang,67139.3146
225,Dedu,24431.7
226,Dehua,201392.2065
227,Dehui,315366.0973
228,Dejiang,224469.8
229,Delingha,45543.7
230,Deng,765181.3797
231,Dengfeng,322146.9272
232,Dengkou,26058.426
233,Dengta,328821.3922
234,Deqing,848213.3969
235,Dexing,406760.4
236,Deyang,364561.9651
237,Dezhou,802175.3909
238,Dianbai,316724.4024
239,Ding,2120938.813
240,Ding An,60217.9083
241,Dingbian,33891.329
242,Dingcheng,214425.1913
243,Dinghai,422246.1608
244,Dingnan,78538.599
245,Dingtao,266557.7577
246,Dingxi,89439.4529
247,Dingxiang,42314.5
248,Dingxing,95114.56
249,Dingyuan,410949.7486
250,Dong Ujimqin,5350.7734
251,Dong'e,143510.6942
252,Dongchuan,24255.7531
253,Dongfang,176892.6616
254,Donggang,272610.6814
255,Dongguang,85078.4749
256,Donghai,238855.39
257,Donglan,7171.234
258,Dongli,369894.8476
259,Dongliao,22531.97
260,Dongming,186356.1655
261,Dongning,17837.5
262,Dongping,242987.4861
263,Dongshan,117927.8491
264,Dongsheng,93661.6989
265,Dongtai,838324.0535
266,Dongxiang,240884.335
267,Dongxing,153590.7328
268,Dongyang,1010649.818
269,Dongyuan,308089.1498
270,Dongzhi,461631.18
271,Doumen,51032.1278
272,Duchang,253981.4893
273,Dulan,8536.0561
274,Dunhua,46393.2386
275,Dunhuang,99390.4505
276,Duolun,52279.709
277,Dushan,163512.0523
278,Dushanzi,26187.9747
279,Duyun,727788.7876
280,Du’an Yao,53956.2812
281,Dêgê,53.8
282,Dêqên,1918.4841
283,Dêrong,21.85
284,Ebian Yi,4920.93
285,Ejin,33560.0986
286,Ejin Horo,343410.5004
287,Emeishan,549835.513
288,Emin,19906.3326
289,Enping,105218.67
290,Erenhot,56094.5786
291,Ergun,15126.344
292,Eryuan,55488.78
293,Eshan Yi,51115.8256
294,Evenk,49936.568
295,Faku,207511.9468
296,Fanchang,375460.6918
297,Fang,147301.0465
298,Fangcheng,202174.7788
299,Fangshan,375302.4739
300,Fangzheng,18552.6
301,Fanshi,75691.7254
302,Fanxian,806727.1881
303,Feicheng,389138.3501
304,Feidong,1329623.935
305,Feixi,911358.7981
306,Feixian,4300154.507
307,Feixiang,55639.7563
308,Feng,1511115.106
309,Fengcheng,889899.2914
310,Fengfengkuang,128505.5526
311,Fenggang,73385.0028
312,Fenghua,1071365.503
313,Fengkai,46818.111
314,Fengnan,384471.5641
315,Fengning Manchu,124279.7958
316,Fengqing,36065.7529
317,Fengqiu,67819.2112
318,Fengrun,323027.1873
319,Fengshan,42709.0247
320,Fengshun,125770.2745
321,Fengtai,295582.1259
322,Fengxiang,39908.9062
323,Fengxin,278401.1525
324,Fengyang,259316.4788
325,Fengzhen,49479.396
326,Fenxi,5514.5993
327,Fenyang,108695.7136
328,Fenyi,158422.14
329,Fogang,98968.8091
330,Foping,20959.4563
331,Fu,57132.5683
332,Fu'an,473955.962
333,Fucheng,73145.9274
334,Fuchuan Yao,129722.8848
335,Fuding,332263.1813
336,Fufeng,37066.416
337,Fugou,110106.7781
338,Fugu,111903.6062
339,Fuhai,19538.3996
340,Fujin,67800.6138
341,Fukang,114304.7669
342,Fumin,134722.7048
343,Funan,590915.8497
344,Funing,1031843.038
345,Fuping,272285.1756
346,Fuqing,1756821.624
347,Fuquan,182901.0942
348,Fushan,1083987.064
349,Fushun,292681.7532
350,Fusong,174149.2306
351,Fusui,75661.5815
352,Fuxin,315024.1249
353,Fuxin Mongol,195534.0222
354,Fuyang,5314752.865
355,Fuyu,98825.0101
356,Fuyuan,38688.762
357,Fuyun,18229.2995
358,Fuzhou,11593109.31
359,Gadê,64.6652
360,Gai,831145.3964
361,Gan,204219.976
362,Gangca,2113.4669
363,Gangu,60963.9367
364,Ganluo,4265.0033
365,Gannan,42609.8328
366,Ganquan,34852.9457
367,Ganyu,926649
368,Ganzhou,624517.6408
369,Gao,74739.96
370,Gao'an,682672
371,Gaochun,470540.5544
372,Gaolan,118448.4859
373,Gaoling,322790.6393
374,Gaomi,395279.3002
375,Gaoming,567420.9627
376,Gaoping,158105.8198
377,Gaoqing,303879.55
378,Gaotai,47461.8057
379,Gaotang,245228.7152
380,Gaoyang,53365
381,Gaoyao,134576.8081
382,Gaoyi,31584
383,Gaoyou,2371914.466
384,Gaozhou,375726.8666
385,Gejiu,131471.0067
386,Gengma Dai and Va,51884.8475
387,Genhe,11334.836
388,Golmud,77996.1106
389,Gong,19592452.36
390,Gong'an,382715.8347
391,Gongcheng Yao,33660.7187
392,Gonghe,15553.5943
393,Gongliu,17544.0942
394,Gongshan Derung and Nu,1207.7483
395,Gu,6561.2052
396,Gu'an,2206015.679
397,Guan,164996.4422
398,Guang'an,164865.77
399,Guangchang,82417.42
400,Guangde,197954.2323
401,Guangfeng,518228.4593
402,Guanghan,179966.5369
403,Guanghe,19333.76
404,Guangji,5988.528
405,Guangling,32330.0084
406,Guangnan,58821.157
407,Guangning,29196.97
408,Guangping,88396.4954
409,Guangrao,626323.3345
410,Guangshan,108918.7346
411,Guangze,24187.116
412,Guangzhou,22498000.6
413,Guangzong,63382.2413
414,Guannan,500220.024
415,Guantao,80519.9536
416,Guanyang,23751.37
417,Guanyun,1014760
418,Gucheng,248384.4095
419,Gui,592787.2546
420,Guichi,522412
421,Guide,46398.8514
422,Guiding,233753.9361
423,Guilin,909220.2241
424,Guinan,1312.891
425,Guiping,209960.672
426,Guixi,178227.3515
427,Guiyang,2483907.096
428,Gujiao,63366.6
429,Gulin,81383.2514
430,Guoyang,2373167.339
431,Gushi,156533.8884
432,Gutian,138627.4811
433,Guyang,16088.4232
434,Guyuan,223413.7397
435,Guzhen,599861.1172
436,Habahe,6829.7792
437,Hai'an,3381308.585
438,Haibowan,190610.3872
439,Haicheng,679349.72
440,Haifeng,261226.8001
441,Haikou,2915155.275
442,Hailar,482417.51
443,Hailin,51314.916
444,Hailun,49596.2039
445,Haimen,2922881.641
446,Haining,1975900.235
447,Haixing,55526.6162
448,Haiyan,974853.8344
449,Haiyang,505385.5294
450,Haiyuan,16881.7253
451,Hami,2929.9908
452,Hancheng,241577.8862
453,Hanchuan,475354.4136
454,Handan Xiàn,727088.8942
455,Handan shì,1569533.08
456,Hanggin,119139.2621
457,Hangu,48080
458,Hangzhou,21846641.18
459,Hanjiang,1014271.017
460,Hanshan,777173.0303
461,Hanyang,21869.4132
462,Hanyin,10724.58
463,Hanyuan,22175.4264
464,Hanzhong,769072.6177
465,Harbin,6613680.557
466,Harqin,73928.483
467,Harqin Left Mongol,206175.21
468,He,1084110.365
469,Hebi,738193.4206
470,Hechi,147586.0909
471,Hefei,22274470.01
472,Hefeng,15780.7672
473,Hegang shì,113103.0787
474,Heihe,24431.7
475,Heishan,126540.1514
476,Hejian,225919.9386
477,Hejiang,249308.5553
478,Hejin,76960.3268
479,Hejing,16316.2525
480,Hekou,5106.595
481,Hekou Yao,52723.642
482,Helan,252392.9772
483,Helong,21598.0983
484,Henan Mongol,1107.82
485,Heng,87204.6996
486,Hengfeng,96963.056
487,Hengshan,104817.625
488,Hengshui,676667.8209
489,Hengyang Shì,4591676.976
490,Hengyang Xiàn,171428.033
491,Heping,36538.5825
492,Hepu,91850.1055
493,Heqing,32037.3445
494,Hequ,77618.1329
495,Heshan,265715.4538
496,Heshui,51891.6538
497,Heshun,25702.089
498,Hexigten,108924.2968
499,Heyang,44929.4331
500,Heze,1407376.244
501,Hezhang,365013.7722
502,Hezheng,91390.3394
503,Hoboksar Mongol,13844.1332
504,Hohhot,3123826.779
505,Hong'an,59598.3
506,Honghe,25611.995
507,Honghu,164323.0808
508,Hongtong,131258.6952
509,Hongya,169083.1
510,Hongze,1115145.51
511,Horinger,130546.1984
512,Horqin Left Back,57604.2101
513,Horqin Left Middle,60235.27
514,Horqin Right Front,26714.7687
515,Horqin Right Middle,19940.2801
516,Houjia,785588.0128
517,Houma,111947.5778
518,Hoxud,8564.9431
519,Hu,333699.5134
520,Hua,187609.8806
521,Hua'an,81491.7735
522,Huachi,12252.9736
523,Huachuan,51600.0229
524,Huade,38447.32
525,Huadian,214455.3038
526,Huai'an,38453.014
527,Huaian,2021113.749
528,Huaibei,545731.4812
529,Huaide,390810.01
530,Huaiji,82212.26
531,Huailai,657559.9322
532,Huainan,1104831.822
533,Huaining,268188.7824
534,Huairen,257162.661
535,Huairou,13100
536,Huaiyang,66623.0317
537,Huaiyin,395560.9171
538,Huaiyuan,613259.2
539,Hualong Hui,55896.5511
540,Huan,26456.8733
541,Huanan,38382.4197
542,Huangchuan,108872.7046
543,Huangdao,2750413.315
544,Huanggang,5988.528
545,Huanghua,373667.7544
546,Huangling,48083.9181
547,Huanglong,4275.929
548,Huangmei,397682.6434
549,Huangpi,809101.4537
550,Huangping,43641.5349
551,Huangshi,1034544.046
552,Huangyan,1086414.797
553,Huangyuan,21951.593
554,Huangzhong,300200.2605
555,Huaning,27472.0358
556,Huanjiang Maonan,24701.8006
557,Huanren Manchu,80258.36
558,Huantai,200269.8034
559,Huaping,43940.1659
560,Huating,37739.8314
561,Huaxi,564025.5525
562,Huaxian,22498000.6
563,Huayin,50453.72
564,Huayun,861063.0464
565,Huazhou,211571.4094
566,Huelu,7386929.211
567,Huguan,37615.4024
568,Hui,29824.355
569,Hui'an,558715.5995
570,Huichang,221683.26
571,Huidong,499369.1579
572,Huilai,135513.6524
573,Huili,48817.004
574,Huimin,384436.5566
575,Huinan,57283.3212
576,Huining,134995.5651
577,Huixian,84333.1648
578,Huiyang,479320.0943
579,Huize,30744.9028
580,Huizhou,1575543.361
581,Hukou,342864.5425
582,Hulan,208561.753
583,Hulin,19359.5852
584,Huma,5364.67
585,Hunchun,180135.2938
586,Hunyuan,45664
587,Huo,210289.5921
588,Huocheng,93078.0795
589,Huolin Gol,146809.256
590,Huoqiu,601722.5323
591,Huoshan,344605.449
592,Hure,43763.0654
593,Hutubi,108803.5063
594,Huzhong,5364.67
595,Huzhou,587107.9296
596,Huzhu Tu,124312.7491
597,Hóngjiang Shì,86841.3147
598,Jainca,11042.1071
599,Jalaid,82352.8561
600,Jarud,60076.3
601,Jeminay,57957.8014
602,Ji,9359209.247
603,Ji An,204582.8138
604,Ji'an,216980.1955
605,Jia,147737.46
606,Jiajiang,133707.5495
607,Jiamusi,154216.2934
608,Jian'ou,189811.7719
609,Jianchang,79236.387
610,Jianchuan,36428.4569
611,Jiande,345050.0711
612,Jiang,31644.254
613,Jiang'an,128513.6139
614,Jiangcheng Hani and Yi,17174.3652
615,Jiangchuan,75880.5163
616,Jiangdu,1181592.567
617,Jiange,53283.3924
618,Jiangkou,62724.42
619,Jiangle,73539.9671
620,Jiangling,184376.7715
621,Jiangmen,1337079.844
622,Jiangning,7953073.643
623,Jiangpu,10046676.95
624,Jiangshan,302721.3813
625,Jiangyan,292992.02
626,Jiangyang,160312.4546
627,Jiangyin,1913055.953
628,Jiangyou,1017030.361
629,Jiangyuan,23108.1344
630,Jianhe,61305.9715
631,Jianhu,796459.9815
632,Jianli,379883.1797
633,Jianning,16925.658
634,Jianping,129932.489
635,Jianshi,124982.6333
636,Jianshui,203687.2442
637,Jianyang,290575.6367
638,Jiaocheng,56698.3699
639,Jiaohe,1632718.389
640,Jiaokou,18404.5
641,Jiaoling,73539.7141
642,Jiaonan,1018899.267
643,Jiaoxian,5005158.723
644,Jiaozuo,531427.5412
645,Jiashan,2808117.393
646,Jiashi,10298.8796
647,Jiaxiang,718834.85
648,Jiaxing,1534687.151
649,Jiayin,82803.3232
650,Jiayu,400315.8372
651,Jiayuguan,82092.7138
652,Jidong,12694.4
653,Jiedong,173158.0634
654,Jieshou,799828.4437
655,Jiexi,25275.5241
656,Jiexiu,98121.282
657,Jigzhi,204.1
658,Jilin,1359215.343
659,Jimo,1542311.3
660,Jimsar,119436.8355
661,Jin,1327213.199
662,Jing,224232.7863
663,Jing'an,236883.2122
664,Jingbian,97041.66
665,Jingcheng,337684.1676
